Outcome,Sex,Estimate,SE,CI_low,CI_high,p
Compensation,Women,0.12949903312132163,0.08563090650947414,-0.03944565401247388,0.2984437202551171,0.1321749320609677
Compensation,Men,0.10596620919805116,0.16025759664638858,-0.21021250045093054,0.42214491884703287,0.5092956194321729
Masking,Women,0.15582619883472731,0.08646638844366038,-0.014766844479455199,0.3264192421489098,0.07315711905678221
Masking,Men,-0.2541330449026204,0.13196640253201714,-0.5144949106908502,0.006228820885609387,0.05567838763654778
Assimilation,Women,0.07347848698716661,0.0779883052778049,-0.08038780232738049,0.2273447763017137,0.34733937139593096
Assimilation,Men,-0.20723746882318503,0.1601413192894645,-0.5231867701605297,0.1087118325141597,0.19725582869826414
