Omitted_ID,Beta,SE,CI_low,CI_high,t,df,p,Delta_beta,Deletion_DFBETA,Absolute_DFBETA,Percent_change,CI_excludes_zero,Above_DFBETA_threshold
1,-0.4313306624034217,0.1593252727006945,-0.7456813238236553,-0.11698000098318811,-2.707233165787273,183,0.0074273077175873526,-0.021371418666074005,0.13533859175585117,0.13533859175585117,-5.213059344934841,True,False
2,-0.40881148938801354,0.15797007372204083,-0.7204883270759879,-0.09713465170003927,-2.587904656595561,183,0.010431289902376576,0.0011477543493341735,-0.007268373697957969,0.007268373697957969,0.27996791555931244,True,False
3,-0.41755678893199233,0.1580689261287056,-0.7294286635961558,-0.10568491426782894,-2.641612106556617,183,0.008965274284909083,-0.007597545194644617,0.04811290647152567,0.04811290647152567,-1.853244026255499,True,False
4,-0.4195831694351126,0.15952811540261624,-0.7343340419231354,-0.10483229694708968,-2.6301518599161704,183,0.009261543258351681,-0.009623925697764879,0.060945348151645054,0.060945348151645054,-2.347532308341052,True,False
5,-0.4100214641258275,0.15897198105126936,-0.7236750769122284,-0.0963678513394266,-2.57920585385165,183,0.010687996107673445,-6.22203884798056e-05,0.00039402249737994604,0.00039402249737994604,-0.015177213206020279,True,False
6,-0.40476239231911143,0.15787507073399623,-0.7162517879797006,-0.09327299665852234,-2.563814479621648,183,0.011156110346564163,0.005196851418236281,-0.03291005447499854,0.03291005447499854,1.267650747635244,True,False
8,-0.4104577828509227,0.1583888642423289,-0.72296089922537,-0.0979546664764755,-2.591456064884322,183,0.010328085764327692,-0.0004985391135750028,0.0031570941836237937,0.0031570941836237937,-0.12160699415632797,True,False
9,-0.4169385735429527,0.15923335921806162,-0.7311078885667903,-0.10276925851911511,-2.618412219590102,183,0.0095741400363965,-0.006979329805605006,0.04419793940912678,0.04419793940912678,-1.7024447947505035,True,False
10,-0.39567669793026916,0.1574055805418031,-0.7062397838476233,-0.08511361201291506,-2.513739961241,183,0.0128087066763697,0.01428254580707855,-0.09044695003270656,0.09044695003270656,3.4838940761216444,True,False
11,-0.4078415785662485,0.15966621347081092,-0.7228649201882763,-0.09281823694422064,-2.5543386399703607,183,0.011453360652819966,0.0021176651710992367,-0.013410519280217439,0.013410519280217439,0.5165550486906402,True,False
12,-0.37730427110847675,0.16230198782112007,-0.6975280269292656,-0.05708051528768787,-2.324705175665007,183,0.02118514744511803,0.03265497262887096,-0.20679385297116226,0.20679385297116226,7.965419277090948,True,True
13,-0.428840021872572,0.15846065163912215,-0.7414847756362486,-0.1161952681088953,-2.7062871282973835,183,0.007447669361152718,-0.018880778135224263,0.11956613475231372,0.11956613475231372,-4.605525652525786,True,False
14,-0.4102446695824288,0.15782388925276342,-0.7216330835707114,-0.09885625559414618,-2.599382587292599,183,0.010101037947548696,-0.0002854258450810665,0.001807513695163203,0.001807513695163203,-0.06962298068437575,True,False
15,-0.41027023033215937,0.15821142332441454,-0.7224232536613295,-0.0981172070029892,-2.5931770393778395,183,0.010278404465659589,-0.00031098659481165747,0.0019693820262653154,0.0019693820262653154,-0.0758579296752972,True,False
16,-0.41581110295154566,0.15958410959173291,-0.730672452641874,-0.10094975326121736,-2.605592148336844,183,0.009926312027709506,-0.005851859214197952,0.03705801648349544,0.03705801648349544,-1.4274246290558374,True,False
17,-0.4023357628979486,0.15864235608393062,-0.715339021696265,-0.08933250409963223,-2.536118176945699,183,0.012044907662893806,0.007623480839399122,-0.048277148896991175,0.048277148896991175,1.8595704221474576,True,False
18,-0.4011361872637115,0.15793739755765623,-0.7127485544900141,-0.08952382003740883,-2.53984295972253,183,0.01192180413646863,0.008823056473636237,-0.055873690782158744,0.055873690782158744,2.1521789320328106,True,False
19,-0.4235006621970526,0.15984933772677154,-0.7388853101580406,-0.1081160142360647,-2.649373893065087,183,0.00876949306648055,-0.013541418459704913,0.08575361951157819,0.08575361951157819,-3.303113337866487,True,False
20,-0.40947426110017293,0.15796836580006107,-0.7211477290377311,-0.09780079316261486,-2.592128234196208,183,0.010308655913157308,0.0004849826371747801,-0.003071245206827036,0.003071245206827036,0.1183002077849227,True,False
21,-0.39687008063288587,0.1587951071106718,-0.7101747190270113,-0.08356544223876039,-2.499258874244081,183,0.01332571357013867,0.013089163104461843,-0.08288962607019738,0.08288962607019738,3.192796187527313,True,False
22,-0.41043205021696505,0.15824407881132133,-0.7226495032108967,-0.09821459722303338,-2.593664504226627,183,0.010264371300913833,-0.0004728064796173381,0.0029941373628149066,0.0029941373628149066,-0.11533011801540334,True,False
23,-0.41519383671104154,0.15774958209978485,-0.7264356418011177,-0.10395203162096528,-2.6319805807688907,183,0.009213684404156484,-0.00523459297369383,0.03314906008553429,0.03314906008553429,-1.2768569202082742,True,False
24,-0.3652420385574596,0.15736698569583302,-0.6757289763838521,-0.05475510073106721,-2.3209572004093553,183,0.021391280205537395,0.044717205179888087,-0.28318024511450324,0.28318024511450324,10.90771969726275,True,True
25,-0.40844550396066526,0.1579567386799473,-0.7200960314517002,-0.09679497646963031,-2.585806135110573,183,0.0104927069848226,0.0015137397766824545,-0.009586046338900102,0.009586046338900102,0.3692415282267122,True,False
26,-0.38617747049828793,0.15776011975079451,-0.6974400664993639,-0.07491487449721207,-2.44787764555651,183,0.015313395501747519,0.023781773239059778,-0.15060262259241972,0.15060262259241972,5.801009149654949,True,True
27,-0.4157950992430111,0.1593827724518426,-0.7302592083573771,-0.10133099012864516,-2.6087832006350835,183,0.009837581648022807,-0.005835855505663401,0.03695666994165938,0.03695666994165938,-1.4235208974583609,True,False
28,-0.3989581664440353,0.15994593334247004,-0.714533398705746,-0.08338293418232468,-2.4943314162905383,183,0.013505829240863066,0.0110010772933124,-0.0696664237380588,0.0696664237380588,2.6834563341034356,True,False
29,-0.37662109371257124,0.16003036853396918,-0.6923629176131663,-0.06087926981197628,-2.3534351458587497,183,0.019662160064596205,0.03333815002477647,-0.21112020435316278,0.21112020435316278,8.132064475691033,True,True
30,-0.4060519665328969,0.15808707467915994,-0.717959648503349,-0.09414428456244467,-2.5685336221002593,183,0.011010666883027159,0.003907277204450832,-0.024743579390429756,0.024743579390429756,0.953089182434472,True,False
31,-0.3986862349132883,0.1584219609676217,-0.7112546515210901,-0.08611781830548648,-2.516609644762394,183,0.012708403218234073,0.011273008824059405,-0.0713884821095854,0.0713884821095854,2.749787691403242,True,False
32,-0.41807035183164915,0.16099160583793068,-0.7357087083862301,-0.10043199527706814,-2.596845653260445,183,0.010173213675337451,-0.008111108094301434,0.051365141650837394,0.051365141650837394,-1.9785157227722008,True,False
33,-0.411129225475399,0.15809712702490472,-0.7230567408437807,-0.09920171010701728,-2.6004851145121357,183,0.010069814626713894,-0.0011699817380512734,0.007409132883596758,0.007409132883596758,-0.28538976884269407,True,False
34,-0.422289362069823,0.16070102028911168,-0.7393543898742188,-0.10522433426542721,-2.6277951522031207,183,0.009323549678518542,-0.01233011833247527,0.07808283003454725,0.07808283003454725,-3.0076449112524264,True,False
35,-0.40499278823577106,0.162213637177866,-0.72504222718471,-0.08494334928683211,-2.4966630135523045,183,0.013420332698251262,0.00496645550157665,-0.03145102831514365,0.03145102831514365,1.2114510350591225,True,False
36,-0.41023847966759464,0.15892774284413938,-0.723804809944224,-0.09667214939096525,-2.5812892848413256,183,0.010626002461158591,-0.00027923593024692384,0.001768314876880195,0.001768314876880195,-0.06811309526803216,True,False
37,-0.4003326846754297,0.15948830332969965,-0.715005007469222,-0.08566036188163734,-2.5101068624941627,183,0.012936706432521324,0.009626559061918005,-0.0609620244332543,0.0609620244332543,2.3481746561337546,True,False
39,-0.4117190886554676,0.15780329533846596,-0.723066870605462,-0.10037130670547312,-2.609065214844771,183,0.009829774334459494,-0.0017598449181198683,0.01114455416593959,0.01114455416593959,-0.42927313995323985,True,False
