Model,Outcome,Beta,SE,CI_low,CI_high,p
Model 1,Compensation,0.5957675849409367,0.1735472705631197,0.2534407028462914,0.9380944670355821,0.000732954684872497
Model 1,Masking,0.1893949604034382,0.16513012801882174,-0.13632887081068215,0.5151187916175586,0.2528471530517857
Model 1,Assimilation,0.2691289126347263,0.1653276055529759,-0.05698444858082469,0.5952422738502774,0.10521332241536502
Model 2,Compensation,0.33517373683874835,0.1913722097954303,-0.04235216035612138,0.712699634033618,0.0815125195719578
Model 2,Masking,0.2518723703556296,0.1878417094223026,-0.1186887991897208,0.6224335399009799,0.18158732748695508
Model 2,Assimilation,0.05331439052563688,0.1801489959688817,-0.30207112445905265,0.40869990551032637,0.7675996385674091
