Outcome,Model 1,Model 2,Model 3,Baseline,Added_traits,Added_interactions,Final_R_squared
Compensation,0.06371409074009882,0.1534843339290828,0.16027770629220145,0.06371409074009882,0.089770243188984,0.006793372363118638,0.16027770629220145
Masking,0.03140801378895852,0.03960960678922548,0.06811523422887515,0.03140801378895852,0.00820159300026696,0.02850562743964967,0.06811523422887515
Assimilation,0.017680158617770392,0.21542950567541846,0.2391142063459833,0.017680158617770392,0.19774934705764807,0.02368470067056483,0.2391142063459833
CAT-Q total,0.0438178410640635,0.15350597646253605,0.1710880748033387,0.0438178410640635,0.10968813539847255,0.017582098340802654,0.1710880748033387
