Outcome,Model 1,Model 2,Model 3
Compensation,0.06371409074009868,0.15348433392908284,0.16027770629220145
Masking,0.03140801378895863,0.0396096067892256,0.06811523422887529
Assimilation,0.01768015861777017,0.21542950567541846,0.23911420634598324
CAT-Q total,0.0438178410640635,0.15350597646253603,0.17108807480333868
