Interaction,Outcome,Beta,SE,CI_low,CI_high,p
Sex × EQ,Compensation,-0.0644984441670851,0.17685058552622832,-0.41341413429646046,0.28441724596229023,0.7157498053594561
Sex × EQ,Masking,-0.06203893748475314,0.20827623725380429,-0.4729555699783617,0.3488776950088554,0.7661395677429377
Sex × EQ,Assimilation,0.13097144230637506,0.15158800615834267,-0.16810268078285792,0.430045565395608,0.38871494233285164
Sex × SQ,Compensation,-0.1861378294124907,0.20937985163221928,-0.5992318274564341,0.2269561686314527,0.3751660236779659
Sex × SQ,Masking,0.030965671400599405,0.229067210517737,-0.42097031516108263,0.48290165796228146,0.8926160631028968
Sex × SQ,Assimilation,-0.26747529702877976,0.16288396291525728,-0.5888356711687672,0.05388507711120766,0.1022727514386709
Sex × AQ-10,Compensation,-0.02353282392327046,0.18184505774197543,-0.38230231077491306,0.3352366629283722,0.8971734806485037
Sex × AQ-10,Masking,-0.4099592437373477,0.15791075101939683,-0.7215077665021163,-0.09841072097257902,0.010188994932772723
Sex × AQ-10,Assimilation,-0.28071595581035164,0.17784648555478702,-0.6315964974822337,0.07016458586153046,0.11618740938809907
